"","key_resp.corr","Run","PartID","expName","modality","task"
"721",1,4,"f008","auditory","non-linguistic","TSL"
"722",0,4,"f008","auditory","non-linguistic","TSL"
"723",1,4,"f008","auditory","non-linguistic","TSL"
"724",1,4,"f008","auditory","non-linguistic","TSL"
"725",0,4,"f008","auditory","non-linguistic","TSL"
"726",1,4,"f008","auditory","non-linguistic","TSL"
"727",0,4,"f008","auditory","non-linguistic","TSL"
"728",1,4,"f008","auditory","non-linguistic","TSL"
"729",1,4,"f008","auditory","non-linguistic","TSL"
"730",1,4,"f008","auditory","non-linguistic","TSL"
"731",0,4,"f008","auditory","non-linguistic","TSL"
"732",0,4,"f008","auditory","non-linguistic","TSL"
"733",0,4,"f008","auditory","non-linguistic","TSL"
"734",1,4,"f008","auditory","non-linguistic","TSL"
"735",1,4,"f008","auditory","non-linguistic","TSL"
"736",1,4,"f008","auditory","non-linguistic","TSL"
