"","image","trialnum","condition","l_block_trial_key_resp.keys","l_block_trial_key_resp.rt","v_block_trial_key_resp.keys","v_block_trial_key_resp.rt","vtarget","Run","PartID","ltarget","expName"
"1","M.png",1,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"2","K.png",2,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"3","B.png",3,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"4","A.png",4,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"5","J.png",5,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"6","F.png",6,"S","4",0.542052669451,"",NA,3,1,"f002",FALSE,"visual"
"7","D.png",7,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"8","G.png",8,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"9","C.png",9,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"10","M.png",10,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"11","K.png",11,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"12","B.png",12,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"13","E.png",13,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"14","L.png",14,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"15","H.png",15,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"16","A.png",16,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"17","J.png",17,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"18","F.png",18,"S","3",0.450384526048,"",NA,3,1,"f002",FALSE,"visual"
"19","D.png",19,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"20","G.png",20,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"21","C.png",21,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"22","M.png",22,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"23","K.png",23,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"24","B.png",24,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"25","E.png",25,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"26","L.png",26,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"27","H.png",27,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"28","A.png",28,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"29","J.png",29,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"30","F.png",30,"S","3",0.483701484744,"",NA,3,1,"f002",FALSE,"visual"
"31","E.png",31,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"32","L.png",32,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"33","H.png",33,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"34","D.png",34,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"35","G.png",35,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"36","C.png",36,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"37","M.png",37,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"38","K.png",38,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"39","B.png",39,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"40","D.png",40,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"41","G.png",41,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"42","C.png",42,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"43","M.png",43,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"44","K.png",44,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"45","B.png",45,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"46","E.png",46,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"47","L.png",47,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
"48","H.png",48,"S","None",NA,"",NA,3,1,"f002",FALSE,"visual"
